fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima
,https://turismoa.euskadi.eus/es/rutas/un-paseo-por-laguardia/webtur00-content/es/,Un paseo por Laguardia,"Laguardia debe su nombre a su consideración como ""la Guardia de Navarra"", baluar...",ruta,Rutas,Laguardia,araba,,42.55358017759045,-2.584134042263031,,,,False,False,False,True,False,4
,https://turismoa.euskadi.eus/es/rutas/elorrio-y-la-via-verde-de-arrazola/webtur00-content/es/,Elorrio y la vía verde de Arrazola,Elorrio tiene la mayor densidad y riqueza de casas palaciegas de toda Bizkaia. La vía verd...,ruta,Rutas,Durango;Elorrio;Atxondo,bizkaia,,,,,,,False,False,False,False,True,8
,https://turismoa.euskadi.eus/es/rutas/un-paseo-por-santurtzi-puerto-escultorico/webtur00-content/es/,Un paseo por Santurtzi : Puerto escultórico,"Presidiendo la margen izquierda del Abra, la desembocadura del Ibaizabal, Santurtzi es una poblac...",ruta,Rutas,Santurtzi,bizkaia,,43.33046138135751,-3.0309605598449707,,,,False,True,False,False,True,8
,https://turismoa.euskadi.eus/es/rutas/senderismo-por-aiako-harria-en-la-cara-de-napoleon/webtur00-content/es/,Senderismo por Aiako Harria: En la cara de Napoleón,"En el extremo nordeste de Gipuzkoa, el Parque Natural Aiako Harria, también conocido como ...",ruta,Rutas,Oiartzun,gipuzkoa,,43.299103652306286,-1.8603157997131348,,,,False,False,False,False,True,6
,https://turismoa.euskadi.eus/es/rutas/valle-de-lastur-toros-entre-montanas/webtur00-content/es/,"Valle de Lastur, toros entre montañas","¿Toros en un paisaje tan verde? Pues sí, el valle de Lastur, una larga hondonada ro...",ruta,Rutas,Deba,gipuzkoa,,43.29740142568137,-2.352833747863769,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/rutas/faro-de-la-plata-entre-san-sebastian-y-pasaia/webtur00-content/es/,"Faro de la Plata, entre San Sebastián y Pasaia","A un paso de las calles de la capital donostiarra y del activo puerto de Pasaia, el monte Ulia es...",ruta,Rutas,Pasaia;;Donostia / San Sebastián,gipuzkoa,,,,,,,False,False,False,False,False,4
,https://turismoa.euskadi.eus/es/rutas/un-paseo-por-hondarribia-historia-y-arte-entre-murallas/webtur00-content/es/,"Un paseo por Hondarribia, historia y arte entre murallas","Hondarribia, localidad costera de gran belleza, conserva aún gran parte de sus murallas, e...",ruta,Rutas,Hondarribia,gipuzkoa,,43.361455818445776,-1.7916592955589294,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/rutas/de-pintxos-por-san-sebastian/webtur00-content/es/,De pintxos por San Sebastián,"En Euskadi, para comer bien no hace falta sentarse ante una mesa. El ritual del txikiteo, esto es...",ruta,Rutas,Donostia / San Sebastián,gipuzkoa,,43.32359326047225,-1.97129487991333,,,,False,False,False,False,False,4
,https://turismoa.euskadi.eus/es/rutas/la-ruta-de-la-sidra/webtur00-content/es/,La ruta de la sidra,"En Euskadi, es toda una tradición acudir a las sidrerías para probar la sidra direc...",ruta,Rutas,Astigarraga;Hernani,gipuzkoa,,,,,,,False,False,False,True,False,8
,https://turismoa.euskadi.eus/es/rutas/el-poteo-en-bilbao/webtur00-content/es/,El Poteo en Bilbao,"Conserva Bilbao, aunque muy puesta al día, la costumbre tradicional del ""poteo"" ...",ruta,Rutas,Bilbao,bizkaia,,43.26231557983237,-2.941938042640686,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/rutas/costa-vasca-el-sabor-de-los-puertos/webtur00-content/es/,"Costa vasca, el sabor de los puertos","El pescado, procedente de la costa vasca o de los lejanos caladeros que explotan desde hace siglo...",ruta,Rutas,Bergara;Bermeo;Bilbao;Ondarroa;Santurtzi;Zierbena;Mutriku;Getaria;Donostia / San Sebastián,bizkaia,,,,,,,False,False,False,True,True,8
,https://turismoa.euskadi.eus/es/rutas/visita-abodegas-de-rioja-alavesa/webtur00-content/es/,Visita a las bodegas de la Rioja Alavesa,"No se puede hablar sobre la Rioja Alavesa sin mencionar el vino, auténtico símbolo ...",ruta,Rutas,Elciego;Elvillar/Bilar;Labastida/Bastida;Laguardia,araba,,,,,,,False,False,False,False,True,8
,https://turismoa.euskadi.eus/es/rutas/de-las-alubias-de-tolosa-a-las-habas-a-la-vitoriana/webtur00-content/es/,De las alubias de Tolosa a las habas a la vitoriana,Los amantes de las legumbres no podrán marcharse del País Vasco sin probar un buen ...,ruta,Rutas,Gernika-Lumo;Tolosa;Vitoria-Gasteiz;Erriberagoitia/Ribera Alta;Balmaseda,bizkaia,,,,,,,False,False,False,False,True,8
,https://turismoa.euskadi.eus/es/rutas/la-euskadi-dulce/webtur00-content/es/,La Euskadi dulce,"La riqueza y variedad de los productos dulces es notable en innumerables zonas de Euskadi, ya que...",ruta,Rutas,Bergara;Tolosa;Irun;Vitoria-Gasteiz;Mendaro;Markina-Xemein;Durango;Bilbao;Barakaldo;Abadiño,bizkaia,,,,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/rutas/bebidas-y-alimentos-de-primera/webtur00-content/es/,Bebidas y alimentos de primera,"Alubias de Tolosa, cordero lechal vasco con pimientos de Gernika y queso de Idiazabal. Regados, c...",ruta,Rutas,Hondarribia;;;;Gernika-Lumo,bizkaia,,,,,,,False,False,False,False,True,6
,https://turismoa.euskadi.eus/es/rutas/vitoria-gasteiz-variedad-y-cantidad/webtur00-content/es/,Vitoria-Gasteiz: variedad y cantidad,"La capital alavesa es una ciudad famosa por su hospitalidad. Estratégicamente situada, el ...",ruta,Rutas,Vitoria-Gasteiz,araba,,42.84644554336133,-2.6733630895614624,,,,False,False,False,False,True,6
,https://turismoa.euskadi.eus/es/rutas/el-camino-de-santiago-por-la-costa/webtur00-content/es/,El Camino de Santiago por la Costa,El denominado Camino de la Costa que recorre el litoral guipuzcoano para adentrarse en los l&iacu...,ruta,Rutas,Zarautz;Zumaia;Barakaldo;Bilbao;Güeñes;Gernika-Lumo;Larrabetzu;Markina-Xemein;Mendata;Morga;Muxika;Muskiz;Portugalete;Lezama;Ortuella;Balmaseda;Zalla;Sondika;Zamudio;Ajangiz;Ziortza-Bolibar;Deba;Hondarribia;Getaria;Mutriku;Orio;Pasaia;Donostia / San Sebastián,bizkaia,,,,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/rutas/el-camino-de-santiago-por-el-interior/webtur00-content/es/,El Camino de Santiago por el interior,El Camino del Túnel de San Adrián que atraviesa Gipuzkoa y Álava es tal vez ...,ruta,Rutas,Villabona;Urnieta;Lasarte-Oria;Astigarraga;Alegría-Dulantzi;Armiñón;Berantevilla;Elburgo/Burgelu;Iruraiz-Gauna;Labastida/Bastida;Ribera Baja/Erriberabeitia;Agurain/Salvatierra;San Millán/Donemiliaga;Vitoria-Gasteiz;;Zalduondo;Zambrana;Albiztur;Alegia;Altzo;Andoain;Asteasu;Aia;Beasain;Bidania-Goiatz;Zegama;Zerain;Zizurkil;Ezkio-Itsaso;Hernani;Idiazabal;Irun;Itsasondo;Legorreta;Mutiloa;Olaberria;Ormaiztegi;Oiartzun;Donostia / San Sebastián;Segura;Tolosa;Ordizia,gipuzkoa,,,,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/circuitos/tierra-ignaciana-los-tres-templos/webtur00-content/es/,Tierra ignaciana: los tres templos,En esta ruta cultural e histórica te proponemos adentrarte en el corazón de Euskadi...,ruta,Rutas,Oñati;Legazpi;Ezkio-Itsaso;Azpeitia;Zumarraga,gipuzkoa,,,,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/circuitos/la-ruta-de-los-pueblos-con-encanto/webtur00-content/es/,La ruta de los pueblos con encanto,"Si buscas pueblos históricos y con encanto, no puedes perderte esta pintoresca ruta por el...",ruta,Rutas,Beasain;Elgoibar;Idiazabal;Oñati;Leintz-Gatzaga;Segura;Tolosa;Bergara;Durango;Elorrio;Otxandio;Urduña/Orduña;Balmaseda;Areatza;Azpeitia;Valdegovía/Gaubea;;Agurain/Salvatierra;Artziniega;Añana,bizkaia,,,,,,,False,False,False,False,True,4
,https://turismoa.euskadi.eus/es/circuitos/buscando-la-gran-ola/webtur00-content/es/,Buscando la gran ola,Descubre los paisajes y pueblos del litoral vasco a través del surf. Cuando el mar golpea ...,ruta,Rutas,Deba;Hondarribia;Getaria;Mutriku;Orio;Donostia / San Sebastián;Zarautz;Zumaia;Bakio;Bilbao;Elantxobe;Lemoiz;Lekeitio;Mundaka;Ondarroa;Plentzia;Sopela,bizkaia,,,,,,,False,True,False,True,False,4
,https://turismoa.euskadi.eus/es/circuitos/euskadi-en-familia/webtur00-content/es/,Euskadi en familia,"¿Viajas en familia? Te invitamos a que descubras Euskadi, una tierra tan auténtica ...",ruta,Rutas,Vitoria-Gasteiz;Balmaseda;Getaria;Mutriku;Orio;Donostia / San Sebastián;;Tolosa;Zarautz;Zumaia;Astigarraga;Bermeo;Bilbao;Karrantza Harana/Valle de Carranza;Gernika-Lumo;Sopuerta;Deba,bizkaia,,,,,,,False,False,False,False,True,4
