fuente,external_id,nombre,descripcion,categoria,tipo_plantilla,municipio,territorio,direccion,lat,lng,telefono,email,website,es_lluvia,es_carrito,es_cambiador,es_silla_ruedas,es_mascotas,edad_minima,fecha_inicio,fecha_fin,lugar,precio,imagen_url,tipo_evento
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-industria-armera-exposicion-permanente111/webkklik00-detalle/es/,Museo de la Industria Armera - exposición permanente,,evento_cultural,Evento cultural,Eibar,gipuzkoa,"Bista Eder, 10 - 5º",43.1846518424979,-2.47001409530639,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-industria-armera-exposicion-permanente111/webkklik00-detalle/es/,True,False,False,True,False,4,01/01/2014,31/12/2034,Museo de la Industria Armera de Eibar,"1,5 / 3 ?",/contenidos/evento/2024022610430069/es_def/images/2a5d08def1f84fcb9b5a9b135f669fee.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-del-ferrocarril-coleccion-exposicion-permanente-/webkklik00-detalle/es/,Museo del Ferrocarril - colección (exposición permanente),,evento_cultural,Evento cultural,Azpeitia,gipuzkoa,"Julian Elorza, 8",43.1857314003284,-2.26204633712768,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-del-ferrocarril-coleccion-exposicion-permanente-/webkklik00-detalle/es/,True,False,False,True,False,6,01/01/2014,31/12/2034,Fundación del Museo Vasco del Ferrocarril,3 / 6 ?,/contenidos/evento/2024022611302489/es_def/images/M5Museovascodelferrocarrilazpeitia.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2020/02/01/orconera-lutxana-bilduma-deposito-de-patrimonio-industrial-mueble-exposicion-y-visitas-/webkklik00-detalle/es/,Orconera Lutxana Bilduma: depósito de patrimonio industrial mueble (exposición y visitas),,evento_cultural,Evento cultural,Barakaldo,bizkaia,"Andikollano, 31",43.28884372942702,-2.9789600683748527,,,https://www.kulturklik.euskadi.eus/evento/2020/02/01/orconera-lutxana-bilduma-deposito-de-patrimonio-industrial-mueble-exposicion-y-visitas-/webkklik00-detalle/es/,True,True,True,True,False,6,01/02/2020,31/12/2034,Orconera-Lutxana Bilduma,,/contenidos/evento/2024022613041356/es_def/images/OndareLagunakOrkoneraLutxanaBilduma.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/sagardoetxea-sagardoaren-museoa-erakusketa-eta-bisitak/webkklik00-detalle/es/,"Sagardoetxea, sagardoaren museoa - erakusketa eta bisitak",,evento_cultural,Evento cultural,Astigarraga,gipuzkoa,"Kale Nagusia, 48",43.2814856441289,-1.94571733474731,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/sagardoetxea-sagardoaren-museoa-erakusketa-eta-bisitak/webkklik00-detalle/es/,True,True,False,False,False,2,01/01/2014,31/12/2034,Sagardoetxea. Museo de la Sidra Vasca,5 ?,/contenidos/evento/2024022613560682/es_def/images/4272eu.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-diocesano-de-arte-sacro-exposicion-y-visitas/webkklik00-detalle/es/,Museo Diocesano de Arte Sacro - exposición y visitas,,evento_cultural,Evento cultural,Vitoria-Gasteiz,araba,"Catedral María Inmaculada. Monseñor Cadena y Eleta, s/n",42.844663833406,-2.67718791961669,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-diocesano-de-arte-sacro-exposicion-y-visitas/webkklik00-detalle/es/,True,True,False,False,False,4,01/01/2014,31/12/2034,Museo Diocesano de Arte Sacro (Vitoria-Gasteiz),Gratis,/contenidos/evento/2024022614161068/es_def/images/elmuseoartesacrodevitoria.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-arte-sacro-exposicion-permanente-y-visitas-guiadas/webkklik00-detalle/es/,Museo de Arte Sacro - exposición permanente y visitas guiadas,,evento_cultural,Evento cultural,Bilbao,bizkaia,"Plaza de la Encarnación, 9 B",43.2538300788007,-2.92103290557861,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-arte-sacro-exposicion-permanente-y-visitas-guiadas/webkklik00-detalle/es/,True,True,False,False,False,2,01/01/2014,31/12/2034,Museo Diocesano de Arte Sacro (Bilbao),"1,5 - 3 ?",/contenidos/evento/2024022614345226/es_def/images/05.MuseoDiocesanoArteSacro.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-mineria-del-pais-vasco-coleccion-y-visitas/webkklik00-detalle/es/,Museo de la Minería del País Vasco - colección y visitas,,evento_cultural,Evento cultural,Abanto y Ciérvana-Abanto Zierbena,bizkaia,"Barrio Campodiego, s/n. Gallarta",43.31145,-3.070151,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/museo-de-la-mineria-del-pais-vasco-coleccion-y-visitas/webkklik00-detalle/es/,True,True,False,True,False,2,01/01/2014,31/12/2033,Museo de la Minería del País Vasco,,/contenidos/evento/2024022614554910/es_def/images/GLGallartaMuseodelamineria385x220.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/zerain-paisaje-cultural-exposicion-y-visitas-guiadas/webkklik00-detalle/es/,Zerain Paisaje Cultural - exposición y visitas guiadas,,evento_cultural,Evento cultural,Zerain,gipuzkoa,"Herriko Plaza, z/g",43.01273,-2.273046,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/zerain-paisaje-cultural-exposicion-y-visitas-guiadas/webkklik00-detalle/es/,True,False,False,True,False,4,01/01/2014,31/12/2034,Museo Etnográfico de Zerain,2 / 4 ?,/contenidos/evento/2024022615191818/es_def/images/zeraingoudalazerbitzuakmuseoetnografikoa11.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2024/01/01/arabako-arma-museoa-erakusketa/webkklik00-detalle/es/,Arabako Arma Museoa - erakusketa,,evento_cultural,Evento cultural,Vitoria-Gasteiz,araba,"Paseo de Fray Francisco de Vitoria, 3",42.841334,-2.678577,,,https://www.kulturklik.euskadi.eus/evento/2024/01/01/arabako-arma-museoa-erakusketa/webkklik00-detalle/es/,True,False,False,False,False,2,01/01/2014,31/12/2034,Museo de Armería de Alava,Gratis,/contenidos/evento/2024022616094820/es_def/images/030203GERT.jpg,Exposición
,https://www.kulturklik.euskadi.eus/evento/2014/01/01/lenbur-museo-del-hierro-vasco-exposicion-y-visitas-/webkklik00-detalle/es/,"Lenbur, Museo del Hierro Vasco (exposición y visitas)",,evento_cultural,Evento cultural,Legazpi,gipuzkoa,"Bikuña-enea, 16 - (Bikuña Jauregia)",43.0501996803969,-2.33712673187255,,,https://www.kulturklik.euskadi.eus/evento/2014/01/01/lenbur-museo-del-hierro-vasco-exposicion-y-visitas-/webkklik00-detalle/es/,True,True,False,True,False,4,01/01/2014,31/12/2034,Museo-Territorio Lenbur,"2 / 7,5 ?",/contenidos/evento/2024022713283471/es_def/images/burdinmuseoa.jpg,Exposición
